county,precinct,office,district,candidate,election_day,mail,provisional,votes
Warren,BEAR LAKE BORO,President,,HARRIS/WALZ,10,0,1,11
Warren,BEAR LAKE BORO,President,,TRUMP/VANCE,59,5,0,64
Warren,BEAR LAKE BORO,President,,OLIVER/MAAT,0,1,0,1
Warren,BEAR LAKE BORO,President,,STEIN/WARE,0,0,0,0
Warren,BEAR LAKE BORO,President,,Write-in,0,0,0,0
Warren,BEAR LAKE BORO,U.S. Senate,,ROBERT P CASEY JR,10,0,1,11
Warren,BEAR LAKE BORO,U.S. Senate,,DAVE MCCORMICK,57,5,0,62
Warren,BEAR LAKE BORO,U.S. Senate,,JOHN C THOMAS,1,0,0,1
Warren,BEAR LAKE BORO,U.S. Senate,,LEILA HAZOU,0,0,0,0
Warren,BEAR LAKE BORO,U.S. Senate,,MARTY SELKER,0,0,0,0
Warren,BEAR LAKE BORO,U.S. Senate,,Write-in,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,EUGENE DEPASQUALE,8,0,1,9
Warren,BEAR LAKE BORO,Attorney General,,DAVE SUNDAY,59,5,0,64
Warren,BEAR LAKE BORO,Attorney General,,ROBERT COWBURN,0,1,0,1
Warren,BEAR LAKE BORO,Attorney General,,RICHARD L WEISS,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,JUSTIN L MAGILL,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,ERIC L SETTLE,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,Write-in,0,0,0,0
Warren,BEAR LAKE BORO,Auditor General,,MALCOLM KENYATTA,7,0,1,8
Warren,BEAR LAKE BORO,Auditor General,,TIM DEFOOR,60,5,0,65
Warren,BEAR LAKE BORO,Auditor General,,REECE SMITH,0,1,0,1
Warren,BEAR LAKE BORO,Auditor General,,ERIC K ANTON,0,0,0,0
Warren,BEAR LAKE BORO,Auditor General,,BOB GOODRICH,2,0,0,2
Warren,BEAR LAKE BORO,Auditor General,,Write-in,0,0,0,0
Warren,BEAR LAKE BORO,State Treasurer,,ERIN MCCLELLAND,9,0,1,10
Warren,BEAR LAKE BORO,State Treasurer,,STACY GARRITY,60,5,0,65
Warren,BEAR LAKE BORO,State Treasurer,,NICKOLAS CIESIELSKI,0,1,0,1
Warren,BEAR LAKE BORO,State Treasurer,,TROY BOWMAN,0,0,0,0
Warren,BEAR LAKE BORO,State Treasurer,,CHRIS FOSTER,0,0,0,0
Warren,BEAR LAKE BORO,State Treasurer,,Write-in,0,0,0,0
Warren,BEAR LAKE BORO,U.S. House,15,ZACH WOMER,7,1,1,9
Warren,BEAR LAKE BORO,U.S. House,15,GLENN GT THOMPSON,59,5,0,64
Warren,BEAR LAKE BORO,U.S. House,15,Write-in,0,0,0,0
Warren,BEAR LAKE BORO,State Senate,21,SCOTT E HUTCHINSON,60,6,1,67
Warren,BEAR LAKE BORO,State Senate,21,Write-in,0,0,0,0
Warren,BEAR LAKE BORO,General Assembly,65,ERIN WILLMAN,11,1,1,13
Warren,BEAR LAKE BORO,General Assembly,65,KATHY L RAPP,57,5,0,62
Warren,BEAR LAKE BORO,General Assembly,65,Write-in,0,0,0,0
Warren,BEAR LAKE BORO,Referendum,,YES,10,4,1,15
Warren,BEAR LAKE BORO,Referendum,,NO,51,2,0,53
Warren,CLARENDON BORO,President,,HARRIS/WALZ,17,18,0,35
Warren,CLARENDON BORO,President,,TRUMP/VANCE,129,18,1,148
Warren,CLARENDON BORO,President,,OLIVER/MAAT,0,0,0,0
Warren,CLARENDON BORO,President,,STEIN/WARE,1,0,0,1
Warren,CLARENDON BORO,President,,Write-in,0,0,0,0
Warren,CLARENDON BORO,U.S. Senate,,ROBERT P CASEY JR,47,17,0,64
Warren,CLARENDON BORO,U.S. Senate,,DAVE MCCORMICK,114,15,1,130
Warren,CLARENDON BORO,U.S. Senate,,JOHN C THOMAS,4,2,0,6
Warren,CLARENDON BORO,U.S. Senate,,LEILA HAZOU,1,0,0,1
Warren,CLARENDON BORO,U.S. Senate,,MARTY SELKER,1,1,0,2
Warren,CLARENDON BORO,U.S. Senate,,Write-in,0,0,0,0
Warren,CLARENDON BORO,Attorney General,,EUGENE DEPASQUALE,32,17,0,49
Warren,CLARENDON BORO,Attorney General,,DAVE SUNDAY,128,15,1,144
Warren,CLARENDON BORO,Attorney General,,ROBERT COWBURN,3,0,0,3
Warren,CLARENDON BORO,Attorney General,,RICHARD L WEISS,2,1,0,3
Warren,CLARENDON BORO,Attorney General,,JUSTIN L MAGILL,2,2,0,4
Warren,CLARENDON BORO,Attorney General,,ERIC L SETTLE,0,0,0,0
Warren,CLARENDON BORO,Attorney General,,Write-in,0,0,0,0
Warren,CLARENDON BORO,Auditor General,,MALCOLM KENYATTA,36,18,0,54
Warren,CLARENDON BORO,Auditor General,,TIM DEFOOR,120,13,1,134
Warren,CLARENDON BORO,Auditor General,,REECE SMITH,5,2,0,7
Warren,CLARENDON BORO,Auditor General,,ERIC K ANTON,2,0,0,2
Warren,CLARENDON BORO,Auditor General,,BOB GOODRICH,4,1,0,5
Warren,CLARENDON BORO,Auditor General,,Write-in,0,0,0,0
Warren,CLARENDON BORO,State Treasurer,,ERIN MCCLELLAND,38,18,0,56
Warren,CLARENDON BORO,State Treasurer,,STACY GARRITY,119,15,1,135
Warren,CLARENDON BORO,State Treasurer,,NICKOLAS CIESIELSKI,6,0,0,6
Warren,CLARENDON BORO,State Treasurer,,TROY BOWMAN,3,0,0,3
Warren,CLARENDON BORO,State Treasurer,,CHRIS FOSTER,0,1,0,1
Warren,CLARENDON BORO,State Treasurer,,Write-in,0,0,0,0
Warren,CLARENDON BORO,U.S. House,15,ZACH WOMER,33,15,0,48
Warren,CLARENDON BORO,U.S. House,15,GLENN GT THOMPSON,132,17,1,150
Warren,CLARENDON BORO,U.S. House,15,Write-in,0,0,0,0
Warren,CLARENDON BORO,State Senate,21,SCOTT E HUTCHINSON,136,21,1,158
Warren,CLARENDON BORO,State Senate,21,Write-in,0,5,0,5
Warren,CLARENDON BORO,General Assembly,65,ERIN WILLMAN,41,16,0,57
Warren,CLARENDON BORO,General Assembly,65,KATHY L RAPP,125,17,1,143
Warren,CLARENDON BORO,General Assembly,65,Write-in,0,0,0,0
Warren,SUGAR GROVE BORO,President,,HARRIS/WALZ,81,23,0,104
Warren,SUGAR GROVE BORO,President,,TRUMP/VANCE,225,22,0,247
Warren,SUGAR GROVE BORO,President,,OLIVER/MAAT,0,0,0,0
Warren,SUGAR GROVE BORO,President,,STEIN/WARE,0,0,0,0
Warren,SUGAR GROVE BORO,President,,Write-in,1,0,0,1
Warren,SUGAR GROVE BORO,U.S. Senate,,ROBERT P CASEY JR,67,23,0,90
Warren,SUGAR GROVE BORO,U.S. Senate,,DAVE MCCORMICK,215,22,0,237
Warren,SUGAR GROVE BORO,U.S. Senate,,JOHN C THOMAS,11,0,0,11
Warren,SUGAR GROVE BORO,U.S. Senate,,LEILA HAZOU,1,0,0,1
Warren,SUGAR GROVE BORO,U.S. Senate,,MARTY SELKER,1,0,0,1
Warren,SUGAR GROVE BORO,U.S. Senate,,Write-in,0,0,0,0
Warren,SUGAR GROVE BORO,Attorney General,,EUGENE DEPASQUALE,50,22,0,72
Warren,SUGAR GROVE BORO,Attorney General,,DAVE SUNDAY,217,22,0,239
Warren,SUGAR GROVE BORO,Attorney General,,ROBERT COWBURN,18,0,0,18
Warren,SUGAR GROVE BORO,Attorney General,,RICHARD L WEISS,2,0,0,2
Warren,SUGAR GROVE BORO,Attorney General,,JUSTIN L MAGILL,3,0,0,3
Warren,SUGAR GROVE BORO,Attorney General,,ERIC L SETTLE,1,0,0,1
Warren,SUGAR GROVE BORO,Attorney General,,Write-in,0,0,0,0
Warren,SUGAR GROVE BORO,Auditor General,,MALCOLM KENYATTA,46,20,0,66
Warren,SUGAR GROVE BORO,Auditor General,,TIM DEFOOR,214,24,0,238
Warren,SUGAR GROVE BORO,Auditor General,,REECE SMITH,19,0,0,19
Warren,SUGAR GROVE BORO,Auditor General,,ERIC K ANTON,2,0,0,2
Warren,SUGAR GROVE BORO,Auditor General,,BOB GOODRICH,5,1,0,6
Warren,SUGAR GROVE BORO,Auditor General,,Write-in,0,0,0,0
Warren,SUGAR GROVE BORO,State Treasurer,,ERIN MCCLELLAND,47,19,0,66
Warren,SUGAR GROVE BORO,State Treasurer,,STACY GARRITY,217,23,0,240
Warren,SUGAR GROVE BORO,State Treasurer,,NICKOLAS CIESIELSKI,16,0,0,16
Warren,SUGAR GROVE BORO,State Treasurer,,TROY BOWMAN,4,1,0,5
Warren,SUGAR GROVE BORO,State Treasurer,,CHRIS FOSTER,3,1,0,4
Warren,SUGAR GROVE BORO,State Treasurer,,Write-in,0,0,0,0
Warren,SUGAR GROVE BORO,U.S. House,15,ZACH WOMER,50,20,0,70
Warren,SUGAR GROVE BORO,U.S. House,15,GLENN GT THOMPSON,238,24,0,262
Warren,SUGAR GROVE BORO,U.S. House,15,Write-in,2,0,0,2
Warren,SUGAR GROVE BORO,State Senate,21,SCOTT E HUTCHINSON,244,32,0,276
Warren,SUGAR GROVE BORO,State Senate,21,Write-in,3,2,0,5
Warren,SUGAR GROVE BORO,General Assembly,65,ERIN WILLMAN,61,19,0,80
Warren,SUGAR GROVE BORO,General Assembly,65,KATHY L RAPP,229,24,0,253
Warren,SUGAR GROVE BORO,General Assembly,65,Write-in,0,0,0,0
Warren,TIDIOUTE BORO,President,,HARRIS/WALZ,85,19,2,106
Warren,TIDIOUTE BORO,President,,TRUMP/VANCE,174,31,0,205
Warren,TIDIOUTE BORO,President,,OLIVER/MAAT,1,0,0,1
Warren,TIDIOUTE BORO,President,,STEIN/WARE,2,0,0,2
Warren,TIDIOUTE BORO,President,,Write-in,1,0,0,1
Warren,TIDIOUTE BORO,U.S. Senate,,ROBERT P CASEY JR,93,19,1,113
Warren,TIDIOUTE BORO,U.S. Senate,,DAVE MCCORMICK,156,28,0,184
Warren,TIDIOUTE BORO,U.S. Senate,,JOHN C THOMAS,6,3,1,10
Warren,TIDIOUTE BORO,U.S. Senate,,LEILA HAZOU,3,0,0,3
Warren,TIDIOUTE BORO,U.S. Senate,,MARTY SELKER,3,0,0,3
Warren,TIDIOUTE BORO,U.S. Senate,,Write-in,0,0,1,1
Warren,TIDIOUTE BORO,Attorney General,,EUGENE DEPASQUALE,76,16,1,93
Warren,TIDIOUTE BORO,Attorney General,,DAVE SUNDAY,169,31,0,200
Warren,TIDIOUTE BORO,Attorney General,,ROBERT COWBURN,3,1,1,5
Warren,TIDIOUTE BORO,Attorney General,,RICHARD L WEISS,4,1,0,5
Warren,TIDIOUTE BORO,Attorney General,,JUSTIN L MAGILL,3,1,0,4
Warren,TIDIOUTE BORO,Attorney General,,ERIC L SETTLE,0,0,0,0
Warren,TIDIOUTE BORO,Attorney General,,Write-in,0,0,0,0
Warren,TIDIOUTE BORO,Auditor General,,MALCOLM KENYATTA,75,15,1,91
Warren,TIDIOUTE BORO,Auditor General,,TIM DEFOOR,168,31,1,200
Warren,TIDIOUTE BORO,Auditor General,,REECE SMITH,6,3,0,9
Warren,TIDIOUTE BORO,Auditor General,,ERIC K ANTON,2,0,0,2
Warren,TIDIOUTE BORO,Auditor General,,BOB GOODRICH,5,0,0,5
Warren,TIDIOUTE BORO,Auditor General,,Write-in,0,0,0,0
Warren,TIDIOUTE BORO,State Treasurer,,ERIN MCCLELLAND,71,18,1,90
Warren,TIDIOUTE BORO,State Treasurer,,STACY GARRITY,179,25,0,204
Warren,TIDIOUTE BORO,State Treasurer,,NICKOLAS CIESIELSKI,4,2,0,6
Warren,TIDIOUTE BORO,State Treasurer,,TROY BOWMAN,7,0,0,7
Warren,TIDIOUTE BORO,State Treasurer,,CHRIS FOSTER,3,0,0,3
Warren,TIDIOUTE BORO,State Treasurer,,Write-in,0,0,0,0
Warren,TIDIOUTE BORO,U.S. House,15,ZACH WOMER,71,13,1,85
Warren,TIDIOUTE BORO,U.S. House,15,GLENN GT THOMPSON,188,36,1,225
Warren,TIDIOUTE BORO,U.S. House,15,Write-in,0,0,0,0
Warren,TIDIOUTE BORO,State Senate,21,SCOTT E HUTCHINSON,196,41,1,238
Warren,TIDIOUTE BORO,State Senate,21,Write-in,3,1,0,4
Warren,TIDIOUTE BORO,General Assembly,65,ERIN WILLMAN,71,17,0,88
Warren,TIDIOUTE BORO,General Assembly,65,KATHY L RAPP,193,32,2,227
Warren,TIDIOUTE BORO,General Assembly,65,Write-in,0,0,0,0
Warren,YOUNGSVILLE BORO,President,,HARRIS/WALZ,172,104,1,277
Warren,YOUNGSVILLE BORO,President,,TRUMP/VANCE,568,70,0,638
Warren,YOUNGSVILLE BORO,President,,OLIVER/MAAT,5,2,0,7
Warren,YOUNGSVILLE BORO,President,,STEIN/WARE,2,0,0,2
Warren,YOUNGSVILLE BORO,President,,Write-in,2,0,0,2
Warren,YOUNGSVILLE BORO,U.S. Senate,,ROBERT P CASEY JR,194,102,0,296
Warren,YOUNGSVILLE BORO,U.S. Senate,,DAVE MCCORMICK,529,67,0,596
Warren,YOUNGSVILLE BORO,U.S. Senate,,JOHN C THOMAS,16,1,0,17
Warren,YOUNGSVILLE BORO,U.S. Senate,,LEILA HAZOU,7,1,0,8
Warren,YOUNGSVILLE BORO,U.S. Senate,,MARTY SELKER,4,1,0,5
Warren,YOUNGSVILLE BORO,U.S. Senate,,Write-in,0,0,0,0
Warren,YOUNGSVILLE BORO,Attorney General,,EUGENE DEPASQUALE,153,87,0,240
Warren,YOUNGSVILLE BORO,Attorney General,,DAVE SUNDAY,550,80,0,630
Warren,YOUNGSVILLE BORO,Attorney General,,ROBERT COWBURN,25,0,0,25
Warren,YOUNGSVILLE BORO,Attorney General,,RICHARD L WEISS,9,0,0,9
Warren,YOUNGSVILLE BORO,Attorney General,,JUSTIN L MAGILL,7,0,0,7
Warren,YOUNGSVILLE BORO,Attorney General,,ERIC L SETTLE,2,1,0,3
Warren,YOUNGSVILLE BORO,Attorney General,,Write-in,0,0,0,0
Warren,YOUNGSVILLE BORO,Auditor General,,MALCOLM KENYATTA,150,87,0,237
Warren,YOUNGSVILLE BORO,Auditor General,,TIM DEFOOR,551,69,4,624
Warren,YOUNGSVILLE BORO,Auditor General,,REECE SMITH,27,5,0,32
Warren,YOUNGSVILLE BORO,Auditor General,,ERIC K ANTON,5,0,0,5
Warren,YOUNGSVILLE BORO,Auditor General,,BOB GOODRICH,13,6,0,19
Warren,YOUNGSVILLE BORO,Auditor General,,Write-in,0,0,0,0
Warren,YOUNGSVILLE BORO,State Treasurer,,ERIN MCCLELLAND,160,92,0,252
Warren,YOUNGSVILLE BORO,State Treasurer,,STACY GARRITY,565,73,0,638
Warren,YOUNGSVILLE BORO,State Treasurer,,NICKOLAS CIESIELSKI,18,2,0,20
Warren,YOUNGSVILLE BORO,State Treasurer,,TROY BOWMAN,10,0,0,10
Warren,YOUNGSVILLE BORO,State Treasurer,,CHRIS FOSTER,0,2,0,2
Warren,YOUNGSVILLE BORO,State Treasurer,,Write-in,0,0,0,0
Warren,YOUNGSVILLE BORO,U.S. House,15,ZACH WOMER,157,83,0,240
Warren,YOUNGSVILLE BORO,U.S. House,15,GLENN GT THOMPSON,587,84,0,671
Warren,YOUNGSVILLE BORO,U.S. House,15,Write-in,0,0,0,0
Warren,YOUNGSVILLE BORO,State Senate,21,SCOTT E HUTCHINSON,597,119,0,716
Warren,YOUNGSVILLE BORO,State Senate,21,Write-in,17,4,0,21
Warren,YOUNGSVILLE BORO,General Assembly,65,ERIN WILLMAN,199,86,0,285
Warren,YOUNGSVILLE BORO,General Assembly,65,KATHY L RAPP,550,75,0,625
Warren,YOUNGSVILLE BORO,General Assembly,65,Write-in,2,0,0,2
Warren,BROKENSTRAW TWP,President,,HARRIS/WALZ,142,97,3,242
Warren,BROKENSTRAW TWP,President,,TRUMP/VANCE,537,95,2,634
Warren,BROKENSTRAW TWP,President,,OLIVER/MAAT,8,0,0,8
Warren,BROKENSTRAW TWP,President,,STEIN/WARE,0,0,0,0
Warren,BROKENSTRAW TWP,President,,Write-in,0,0,0,0
Warren,BROKENSTRAW TWP,U.S. Senate,,ROBERT P CASEY JR,150,96,2,248
Warren,BROKENSTRAW TWP,U.S. Senate,,DAVE MCCORMICK,506,92,0,598
Warren,BROKENSTRAW TWP,U.S. Senate,,JOHN C THOMAS,19,0,0,19
Warren,BROKENSTRAW TWP,U.S. Senate,,LEILA HAZOU,3,0,0,3
Warren,BROKENSTRAW TWP,U.S. Senate,,MARTY SELKER,5,2,0,7
Warren,BROKENSTRAW TWP,U.S. Senate,,Write-in,1,0,0,1
Warren,BROKENSTRAW TWP,Attorney General,,EUGENE DEPASQUALE,118,81,2,201
Warren,BROKENSTRAW TWP,Attorney General,,DAVE SUNDAY,530,105,0,635
Warren,BROKENSTRAW TWP,Attorney General,,ROBERT COWBURN,12,0,0,12
Warren,BROKENSTRAW TWP,Attorney General,,RICHARD L WEISS,7,1,0,8
Warren,BROKENSTRAW TWP,Attorney General,,JUSTIN L MAGILL,5,1,0,6
Warren,BROKENSTRAW TWP,Attorney General,,ERIC L SETTLE,2,0,0,2
Warren,BROKENSTRAW TWP,Attorney General,,Write-in,0,0,0,0
Warren,BROKENSTRAW TWP,Auditor General,,MALCOLM KENYATTA,124,83,5,212
Warren,BROKENSTRAW TWP,Auditor General,,TIM DEFOOR,504,99,0,603
Warren,BROKENSTRAW TWP,Auditor General,,REECE SMITH,23,1,0,24
Warren,BROKENSTRAW TWP,Auditor General,,ERIC K ANTON,2,1,0,3
Warren,BROKENSTRAW TWP,Auditor General,,BOB GOODRICH,11,2,0,13
Warren,BROKENSTRAW TWP,Auditor General,,Write-in,0,0,0,0
Warren,BROKENSTRAW TWP,State Treasurer,,ERIN MCCLELLAND,121,85,8,214
Warren,BROKENSTRAW TWP,State Treasurer,,STACY GARRITY,518,97,0,615
Warren,BROKENSTRAW TWP,State Treasurer,,NICKOLAS CIESIELSKI,14,3,0,17
Warren,BROKENSTRAW TWP,State Treasurer,,TROY BOWMAN,8,0,0,8
Warren,BROKENSTRAW TWP,State Treasurer,,CHRIS FOSTER,2,1,0,3
Warren,BROKENSTRAW TWP,State Treasurer,,Write-in,0,0,0,0
