county,precinct,office,district,candidate,election_day,mail,provisional,votes
Warren,ELDRED TWP,State Treasurer,,NICKOLAS CIESIELSKI,4,0,0,4
Warren,ELDRED TWP,State Treasurer,,TROY BOWMAN,4,0,0,4
Warren,ELDRED TWP,State Treasurer,,CHRIS FOSTER,2,0,0,2
Warren,ELDRED TWP,State Treasurer,,Write-in,0,0,0,0
Warren,ELDRED TWP,U.S. House,15,ZACH WOMER,28,19,3,50
Warren,ELDRED TWP,U.S. House,15,GLENN GT THOMPSON,213,23,0,236
Warren,ELDRED TWP,U.S. House,15,Write-in,0,0,0,0
Warren,ELDRED TWP,State Senate,21,SCOTT E HUTCHINSON,209,32,0,241
Warren,ELDRED TWP,State Senate,21,Write-in,1,0,0,1
Warren,ELDRED TWP,General Assembly,65,ERIN WILLMAN,27,17,4,48
Warren,ELDRED TWP,General Assembly,65,KATHY L RAPP,216,21,1,238
Warren,ELDRED TWP,General Assembly,65,Write-in,0,0,0,0
Warren,ELK TWP,President,,HARRIS/WALZ,51,32,1,84
Warren,ELK TWP,President,,TRUMP/VANCE,221,39,2,262
Warren,ELK TWP,President,,OLIVER/MAAT,2,2,0,4
Warren,ELK TWP,President,,STEIN/WARE,1,0,0,1
Warren,ELK TWP,President,,Write-in,1,0,0,1
Warren,ELK TWP,U.S. Senate,,ROBERT P CASEY JR,56,30,1,87
Warren,ELK TWP,U.S. Senate,,DAVE MCCORMICK,212,41,2,255
Warren,ELK TWP,U.S. Senate,,JOHN C THOMAS,3,1,0,4
Warren,ELK TWP,U.S. Senate,,LEILA HAZOU,2,0,0,2
Warren,ELK TWP,U.S. Senate,,MARTY SELKER,0,0,0,0
Warren,ELK TWP,U.S. Senate,,Write-in,0,0,0,0
Warren,ELK TWP,Attorney General,,EUGENE DEPASQUALE,46,27,1,74
Warren,ELK TWP,Attorney General,,DAVE SUNDAY,217,43,2,262
Warren,ELK TWP,Attorney General,,ROBERT COWBURN,3,0,0,3
Warren,ELK TWP,Attorney General,,RICHARD L WEISS,2,0,0,2
Warren,ELK TWP,Attorney General,,JUSTIN L MAGILL,2,1,0,3
Warren,ELK TWP,Attorney General,,ERIC L SETTLE,0,0,0,0
Warren,ELK TWP,Attorney General,,Write-in,0,0,0,0
Warren,ELK TWP,Auditor General,,MALCOLM KENYATTA,31,25,1,57
Warren,ELK TWP,Auditor General,,TIM DEFOOR,211,36,1,248
Warren,ELK TWP,Auditor General,,REECE SMITH,3,2,1,6
Warren,ELK TWP,Auditor General,,ERIC K ANTON,1,0,0,1
Warren,ELK TWP,Auditor General,,BOB GOODRICH,1,2,0,3
Warren,ELK TWP,Auditor General,,Write-in,0,0,0,0
Warren,ELK TWP,State Treasurer,,ERIN MCCLELLAND,54,23,1,78
Warren,ELK TWP,State Treasurer,,STACY GARRITY,214,41,2,257
Warren,ELK TWP,State Treasurer,,NICKOLAS CIESIELSKI,2,1,0,3
Warren,ELK TWP,State Treasurer,,TROY BOWMAN,2,1,0,3
Warren,ELK TWP,State Treasurer,,CHRIS FOSTER,0,0,0,0
Warren,ELK TWP,State Treasurer,,Write-in,0,0,0,0
Warren,ELK TWP,U.S. House,15,ZACH WOMER,48,28,0,76
Warren,ELK TWP,U.S. House,15,GLENN GT THOMPSON,222,41,4,267
Warren,ELK TWP,U.S. House,15,Write-in,0,0,0,0
Warren,ELK TWP,State Senate,21,SCOTT E HUTCHINSON,226,48,3,277
Warren,ELK TWP,State Senate,21,Write-in,6,1,0,7
Warren,ELK TWP,General Assembly,65,ERIN WILLMAN,55,28,0,83
Warren,ELK TWP,General Assembly,65,KATHY L RAPP,216,42,2,260
Warren,ELK TWP,General Assembly,65,Write-in,2,0,0,2
Warren,FARMINGTON TWP,President,,HARRIS/WALZ,94,47,1,142
Warren,FARMINGTON TWP,President,,TRUMP/VANCE,435,71,3,509
Warren,FARMINGTON TWP,President,,OLIVER/MAAT,2,0,0,2
Warren,FARMINGTON TWP,President,,STEIN/WARE,0,0,0,0
Warren,FARMINGTON TWP,President,,Write-in,1,1,0,2
Warren,FARMINGTON TWP,U.S. Senate,,ROBERT P CASEY JR,96,48,1,145
Warren,FARMINGTON TWP,U.S. Senate,,DAVE MCCORMICK,419,68,3,490
Warren,FARMINGTON TWP,U.S. Senate,,JOHN C THOMAS,7,1,0,8
Warren,FARMINGTON TWP,U.S. Senate,,LEILA HAZOU,4,1,0,5
Warren,FARMINGTON TWP,U.S. Senate,,MARTY SELKER,3,2,0,5
Warren,FARMINGTON TWP,U.S. Senate,,Write-in,0,0,0,0
Warren,FARMINGTON TWP,Attorney General,,EUGENE DEPASQUALE,73,42,1,116
Warren,FARMINGTON TWP,Attorney General,,DAVE SUNDAY,436,72,3,511
Warren,FARMINGTON TWP,Attorney General,,ROBERT COWBURN,10,1,0,11
Warren,FARMINGTON TWP,Attorney General,,RICHARD L WEISS,1,0,0,1
Warren,FARMINGTON TWP,Attorney General,,JUSTIN L MAGILL,3,1,0,4
Warren,FARMINGTON TWP,Attorney General,,ERIC L SETTLE,3,0,0,3
Warren,FARMINGTON TWP,Attorney General,,Write-in,0,0,0,0
Warren,FARMINGTON TWP,Auditor General,,MALCOLM KENYATTA,80,37,1,118
Warren,FARMINGTON TWP,Auditor General,,TIM DEFOOR,424,79,3,506
Warren,FARMINGTON TWP,Auditor General,,REECE SMITH,12,0,0,12
Warren,FARMINGTON TWP,Auditor General,,ERIC K ANTON,3,0,0,3
Warren,FARMINGTON TWP,Auditor General,,BOB GOODRICH,5,1,0,6
Warren,FARMINGTON TWP,Auditor General,,Write-in,0,0,0,0
Warren,FARMINGTON TWP,State Treasurer,,ERIN MCCLELLAND,79,39,1,119
Warren,FARMINGTON TWP,State Treasurer,,STACY GARRITY,428,78,3,509
Warren,FARMINGTON TWP,State Treasurer,,NICKOLAS CIESIELSKI,6,1,0,7
Warren,FARMINGTON TWP,State Treasurer,,TROY BOWMAN,7,0,0,7
Warren,FARMINGTON TWP,State Treasurer,,CHRIS FOSTER,3,0,0,3
Warren,FARMINGTON TWP,State Treasurer,,Write-in,0,0,0,0
Warren,FARMINGTON TWP,U.S. House,15,ZACH WOMER,71,40,1,112
Warren,FARMINGTON TWP,U.S. House,15,GLENN GT THOMPSON,455,75,3,533
Warren,FARMINGTON TWP,U.S. House,15,Write-in,2,0,0,2
Warren,FARMINGTON TWP,State Senate,21,SCOTT E HUTCHINSON,453,94,3,550
Warren,FARMINGTON TWP,State Senate,21,Write-in,3,0,0,3
Warren,FARMINGTON TWP,General Assembly,65,ERIN WILLMAN,98,41,1,140
Warren,FARMINGTON TWP,General Assembly,65,KATHY L RAPP,429,72,3,504
Warren,FARMINGTON TWP,General Assembly,65,Write-in,1,1,0,2
Warren,FREEHOLD TWP,President,,HARRIS/WALZ,61,29,3,93
Warren,FREEHOLD TWP,President,,TRUMP/VANCE,414,43,2,459
Warren,FREEHOLD TWP,President,,OLIVER/MAAT,2,0,0,2
Warren,FREEHOLD TWP,President,,STEIN/WARE,0,1,0,1
Warren,FREEHOLD TWP,President,,Write-in,0,1,0,1
Warren,FREEHOLD TWP,U.S. Senate,,ROBERT P CASEY JR,83,29,3,115
Warren,FREEHOLD TWP,U.S. Senate,,DAVE MCCORMICK,385,43,2,430
Warren,FREEHOLD TWP,U.S. Senate,,JOHN C THOMAS,6,0,0,6
Warren,FREEHOLD TWP,U.S. Senate,,LEILA HAZOU,2,0,0,2
Warren,FREEHOLD TWP,U.S. Senate,,MARTY SELKER,1,0,0,1
Warren,FREEHOLD TWP,U.S. Senate,,Write-in,0,0,0,0
Warren,FREEHOLD TWP,Attorney General,,EUGENE DEPASQUALE,41,20,3,64
Warren,FREEHOLD TWP,Attorney General,,DAVE SUNDAY,417,51,2,470
Warren,FREEHOLD TWP,Attorney General,,ROBERT COWBURN,4,0,0,4
Warren,FREEHOLD TWP,Attorney General,,RICHARD L WEISS,5,0,0,5
Warren,FREEHOLD TWP,Attorney General,,JUSTIN L MAGILL,3,1,0,4
Warren,FREEHOLD TWP,Attorney General,,ERIC L SETTLE,0,0,1,1
Warren,FREEHOLD TWP,Attorney General,,Write-in,0,0,0,0
Warren,FREEHOLD TWP,Auditor General,,MALCOLM KENYATTA,51,27,3,81
Warren,FREEHOLD TWP,Auditor General,,TIM DEFOOR,397,48,0,445
Warren,FREEHOLD TWP,Auditor General,,REECE SMITH,10,0,0,10
Warren,FREEHOLD TWP,Auditor General,,ERIC K ANTON,0,0,0,0
Warren,FREEHOLD TWP,Auditor General,,BOB GOODRICH,7,1,0,8
Warren,FREEHOLD TWP,Auditor General,,Write-in,0,0,0,0
Warren,FREEHOLD TWP,State Treasurer,,ERIN MCCLELLAND,57,27,3,87
Warren,FREEHOLD TWP,State Treasurer,,STACY GARRITY,402,45,2,449
Warren,FREEHOLD TWP,State Treasurer,,NICKOLAS CIESIELSKI,3,2,0,5
Warren,FREEHOLD TWP,State Treasurer,,TROY BOWMAN,3,0,0,3
Warren,FREEHOLD TWP,State Treasurer,,CHRIS FOSTER,3,0,0,3
Warren,FREEHOLD TWP,State Treasurer,,Write-in,0,0,0,0
Warren,FREEHOLD TWP,U.S. House,15,ZACH WOMER,50,23,3,76
Warren,FREEHOLD TWP,U.S. House,15,GLENN GT THOMPSON,416,46,2,464
Warren,FREEHOLD TWP,U.S. House,15,Write-in,3,1,0,4
Warren,FREEHOLD TWP,State Senate,21,SCOTT E HUTCHINSON,390,58,1,449
Warren,FREEHOLD TWP,State Senate,21,Write-in,5,2,0,7
Warren,FREEHOLD TWP,General Assembly,65,ERIN WILLMAN,54,18,3,75
Warren,FREEHOLD TWP,General Assembly,65,KATHY L RAPP,418,52,2,472
Warren,FREEHOLD TWP,General Assembly,65,Write-in,2,1,0,3
Warren,GLADE TWP,President,,HARRIS/WALZ,230,135,4,369
Warren,GLADE TWP,President,,TRUMP/VANCE,736,147,5,888
Warren,GLADE TWP,President,,OLIVER/MAAT,3,1,0,4
Warren,GLADE TWP,President,,STEIN/WARE,3,0,0,3
Warren,GLADE TWP,President,,Write-in,11,1,0,12
Warren,GLADE TWP,U.S. Senate,,ROBERT P CASEY JR,244,136,3,383
Warren,GLADE TWP,U.S. Senate,,DAVE MCCORMICK,710,141,5,856
Warren,GLADE TWP,U.S. Senate,,JOHN C THOMAS,9,2,0,11
Warren,GLADE TWP,U.S. Senate,,LEILA HAZOU,3,0,1,4
Warren,GLADE TWP,U.S. Senate,,MARTY SELKER,7,1,0,8
Warren,GLADE TWP,U.S. Senate,,Write-in,1,0,0,1
Warren,GLADE TWP,Attorney General,,EUGENE DEPASQUALE,199,124,4,327
Warren,GLADE TWP,Attorney General,,DAVE SUNDAY,740,153,5,898
Warren,GLADE TWP,Attorney General,,ROBERT COWBURN,10,1,0,11
Warren,GLADE TWP,Attorney General,,RICHARD L WEISS,6,0,0,6
Warren,GLADE TWP,Attorney General,,JUSTIN L MAGILL,14,2,0,16
Warren,GLADE TWP,Attorney General,,ERIC L SETTLE,3,1,0,4
Warren,GLADE TWP,Attorney General,,Write-in,1,0,0,1
Warren,GLADE TWP,Auditor General,,MALCOLM KENYATTA,194,120,4,318
Warren,GLADE TWP,Auditor General,,TIM DEFOOR,731,147,7,885
Warren,GLADE TWP,Auditor General,,REECE SMITH,13,2,0,15
Warren,GLADE TWP,Auditor General,,ERIC K ANTON,10,3,0,13
Warren,GLADE TWP,Auditor General,,BOB GOODRICH,10,4,0,14
Warren,GLADE TWP,Auditor General,,Write-in,3,0,0,3
Warren,GLADE TWP,State Treasurer,,ERIN MCCLELLAND,201,123,4,328
Warren,GLADE TWP,State Treasurer,,STACY GARRITY,744,145,5,894
Warren,GLADE TWP,State Treasurer,,NICKOLAS CIESIELSKI,12,4,0,16
Warren,GLADE TWP,State Treasurer,,TROY BOWMAN,9,1,0,10
Warren,GLADE TWP,State Treasurer,,CHRIS FOSTER,2,2,0,4
Warren,GLADE TWP,State Treasurer,,Write-in,1,1,0,2
Warren,GLADE TWP,U.S. House,15,ZACH WOMER,197,123,4,324
Warren,GLADE TWP,U.S. House,15,GLENN GT THOMPSON,765,150,5,920
Warren,GLADE TWP,U.S. House,15,Write-in,1,0,0,1
Warren,GLADE TWP,State Senate,21,SCOTT E HUTCHINSON,780,202,4,986
Warren,GLADE TWP,State Senate,21,Write-in,26,11,0,37
Warren,GLADE TWP,General Assembly,65,ERIN WILLMAN,252,130,3,385
Warren,GLADE TWP,General Assembly,65,KATHY L RAPP,703,141,6,850
Warren,GLADE TWP,General Assembly,65,Write-in,9,0,0,9
Warren,LIMESTONE TWP,President,,HARRIS/WALZ,47,18,0,65
Warren,LIMESTONE TWP,President,,TRUMP/VANCE,119,20,1,140
Warren,LIMESTONE TWP,President,,OLIVER/MAAT,1,0,0,1
Warren,LIMESTONE TWP,President,,STEIN/WARE,1,0,0,1
Warren,LIMESTONE TWP,President,,Write-in,0,0,0,0
Warren,LIMESTONE TWP,U.S. Senate,,ROBERT P CASEY JR,49,16,1,66
Warren,LIMESTONE TWP,U.S. Senate,,DAVE MCCORMICK,116,20,0,136
Warren,LIMESTONE TWP,U.S. Senate,,JOHN C THOMAS,2,0,0,2
Warren,LIMESTONE TWP,U.S. Senate,,LEILA HAZOU,2,0,0,2
Warren,LIMESTONE TWP,U.S. Senate,,MARTY SELKER,2,0,0,2
Warren,LIMESTONE TWP,U.S. Senate,,Write-in,1,0,0,1
Warren,LIMESTONE TWP,Attorney General,,EUGENE DEPASQUALE,42,19,0,61
Warren,LIMESTONE TWP,Attorney General,,DAVE SUNDAY,122,19,0,141
Warren,LIMESTONE TWP,Attorney General,,ROBERT COWBURN,1,0,0,1
Warren,LIMESTONE TWP,Attorney General,,RICHARD L WEISS,2,0,0,2
Warren,LIMESTONE TWP,Attorney General,,JUSTIN L MAGILL,1,0,0,1
Warren,LIMESTONE TWP,Attorney General,,ERIC L SETTLE,0,0,0,0
Warren,LIMESTONE TWP,Attorney General,,Write-in,0,0,0,0
Warren,LIMESTONE TWP,Auditor General,,MALCOLM KENYATTA,43,16,0,59
Warren,LIMESTONE TWP,Auditor General,,TIM DEFOOR,118,19,0,137
Warren,LIMESTONE TWP,Auditor General,,REECE SMITH,2,0,0,2
Warren,LIMESTONE TWP,Auditor General,,ERIC K ANTON,0,0,0,0
Warren,LIMESTONE TWP,Auditor General,,BOB GOODRICH,4,0,0,4
Warren,LIMESTONE TWP,Auditor General,,Write-in,0,0,0,0
Warren,LIMESTONE TWP,State Treasurer,,ERIN MCCLELLAND,41,17,0,58
Warren,LIMESTONE TWP,State Treasurer,,STACY GARRITY,124,20,0,144
Warren,LIMESTONE TWP,State Treasurer,,NICKOLAS CIESIELSKI,1,1,0,2
Warren,LIMESTONE TWP,State Treasurer,,TROY BOWMAN,0,0,0,0
Warren,LIMESTONE TWP,State Treasurer,,CHRIS FOSTER,0,0,0,0
Warren,LIMESTONE TWP,State Treasurer,,Write-in,0,0,0,0
Warren,LIMESTONE TWP,U.S. House,15,ZACH WOMER,46,16,0,62
Warren,LIMESTONE TWP,U.S. House,15,GLENN GT THOMPSON,118,21,1,140
Warren,LIMESTONE TWP,U.S. House,15,Write-in,0,0,0,0
Warren,LIMESTONE TWP,State Senate,21,SCOTT E HUTCHINSON,124,24,1,149
Warren,LIMESTONE TWP,State Senate,21,Write-in,1,3,0,4
Warren,LIMESTONE TWP,General Assembly,65,ERIN WILLMAN,43,16,0,59
Warren,LIMESTONE TWP,General Assembly,65,KATHY L RAPP,123,19,1,143
Warren,LIMESTONE TWP,General Assembly,65,Write-in,1,2,0,3
Warren,MEAD TWP,President,,HARRIS/WALZ,128,55,1,184
Warren,MEAD TWP,President,,TRUMP/VANCE,455,74,0,529
Warren,MEAD TWP,President,,OLIVER/MAAT,1,1,0,2
Warren,MEAD TWP,President,,STEIN/WARE,0,0,0,0
Warren,MEAD TWP,President,,Write-in,1,0,0,1
Warren,MEAD TWP,U.S. Senate,,ROBERT P CASEY JR,139,56,1,196
Warren,MEAD TWP,U.S. Senate,,DAVE MCCORMICK,428,71,0,499
Warren,MEAD TWP,U.S. Senate,,JOHN C THOMAS,9,2,0,11
Warren,MEAD TWP,U.S. Senate,,LEILA HAZOU,5,0,0,5
Warren,MEAD TWP,U.S. Senate,,MARTY SELKER,2,1,0,3
Warren,MEAD TWP,U.S. Senate,,Write-in,0,0,0,0
Warren,MEAD TWP,Attorney General,,EUGENE DEPASQUALE,107,49,1,157
Warren,MEAD TWP,Attorney General,,DAVE SUNDAY,450,74,0,524
Warren,MEAD TWP,Attorney General,,ROBERT COWBURN,8,3,0,11
Warren,MEAD TWP,Attorney General,,RICHARD L WEISS,5,1,0,6
Warren,MEAD TWP,Attorney General,,JUSTIN L MAGILL,3,1,0,4
Warren,MEAD TWP,Attorney General,,ERIC L SETTLE,2,0,0,2
Warren,MEAD TWP,Attorney General,,Write-in,0,0,0,0
Warren,MEAD TWP,Auditor General,,MALCOLM KENYATTA,116,48,1,165
Warren,MEAD TWP,Auditor General,,TIM DEFOOR,434,72,1,507
Warren,MEAD TWP,Auditor General,,REECE SMITH,9,4,0,13
Warren,MEAD TWP,Auditor General,,ERIC K ANTON,0,2,0,2
Warren,MEAD TWP,Auditor General,,BOB GOODRICH,8,1,0,9
Warren,MEAD TWP,Auditor General,,Write-in,0,0,0,0
Warren,MEAD TWP,State Treasurer,,ERIN MCCLELLAND,121,49,1,171
Warren,MEAD TWP,State Treasurer,,STACY GARRITY,437,75,0,512
Warren,MEAD TWP,State Treasurer,,NICKOLAS CIESIELSKI,5,1,0,6
Warren,MEAD TWP,State Treasurer,,TROY BOWMAN,5,1,0,6
Warren,MEAD TWP,State Treasurer,,CHRIS FOSTER,4,0,0,4
Warren,MEAD TWP,State Treasurer,,Write-in,0,0,0,0
Warren,MEAD TWP,U.S. House,15,ZACH WOMER,115,48,1,164
Warren,MEAD TWP,U.S. House,15,GLENN GT THOMPSON,459,76,0,535
Warren,MEAD TWP,U.S. House,15,Write-in,0,0,0,0
Warren,MEAD TWP,State Senate,21,SCOTT E HUTCHINSON,442,91,1,534
Warren,MEAD TWP,State Senate,21,Write-in,7,3,0,10
Warren,MEAD TWP,General Assembly,65,ERIN WILLMAN,124,47,1,172
Warren,MEAD TWP,General Assembly,65,KATHY L RAPP,458,76,0,534
Warren,MEAD TWP,General Assembly,65,Write-in,2,0,0,2